小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
阳光小区,深圳市南山区粤海街道,2015,6,1,301,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,302,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,401,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,402,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,501,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,502,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,601,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,602,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,701,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,702,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,801,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,802,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,901,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,902,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1001,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1002,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1101,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1102,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1201,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1202,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1301,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1302,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1401,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1402,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1501,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1502,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1601,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1602,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1701,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1702,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1801,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1802,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1901,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,1902,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2001,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2002,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2101,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2102,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2201,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2202,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2301,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2302,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2401,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,1,2402,南北,100
阳光小区,深圳市南山区粤海街道,2015,6,2,301,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,302,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,401,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,402,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,501,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,502,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,601,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,602,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,701,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,702,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,801,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,802,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,901,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,902,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1001,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1002,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1101,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1102,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1201,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1202,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1301,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1302,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1401,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1402,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1501,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1502,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1601,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1602,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1701,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1702,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1801,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1802,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1901,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,1902,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2001,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2002,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2101,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2102,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2201,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2202,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2301,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2302,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2401,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,2,2402,南北,80
阳光小区,深圳市南山区粤海街道,2015,6,3,301,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,302,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,303,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,304,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,401,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,402,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,403,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,404,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,501,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,502,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,503,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,504,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,601,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,602,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,603,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,604,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,701,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,702,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,703,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,704,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,801,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,802,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,803,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,804,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,901,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,902,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,903,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,904,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1001,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1002,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1003,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1004,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1101,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1102,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1103,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1104,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1201,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1202,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1203,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1204,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1301,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1302,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1303,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1304,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1401,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1402,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1403,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1404,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1501,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1502,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1503,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1504,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1601,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1602,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1603,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1604,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1701,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1702,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1703,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1704,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1801,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1802,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1803,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1804,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1901,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1902,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,1903,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,1904,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2001,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2002,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2003,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2004,东西,80
阳光小区,深圳市南山区粤海街道,2015,6,3,2101,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2102,南北,70
阳光小区,深圳市南山区粤海街道,2015,6,3,2103,东西,80
